Energy Loss (eV)	Intensity
1.443125000000000284e+02	1.477439477974673309e+03
1.443750000000000284e+02	1.475560695722486798e+03
1.444375000000000284e+02	1.474992918754556740e+03
1.445000000000000284e+02	1.475394453056670500e+03
1.445625000000000284e+02	1.475282195836371557e+03
1.446250000000000284e+02	1.474164622357872986e+03
1.446875000000000284e+02	1.472962685609512846e+03
1.447500000000000284e+02	1.472223387755103431e+03
1.448125000000000284e+02	1.471236620376276733e+03
1.448750000000000284e+02	1.469348442465380458e+03
1.449375000000000284e+02	1.467212061930577192e+03
1.450000000000000284e+02	1.465810777947340966e+03
1.450625000000000284e+02	1.465254495034622323e+03
1.451250000000000284e+02	1.465079230070154381e+03
1.451875000000000284e+02	1.464874519109877383e+03
1.452500000000000284e+02	1.464264793709002788e+03
1.453125000000000284e+02	1.463036952373361373e+03
1.453750000000000284e+02	1.461546341631743417e+03
1.454375000000000284e+02	1.460453282320518838e+03
1.455000000000000284e+02	1.459785415747996922e+03
1.455625000000000284e+02	1.458807014918915456e+03
1.456250000000000284e+02	1.457035966221757917e+03
1.456875000000000284e+02	1.454951580357144394e+03
1.457500000000000284e+02	1.453485933946794376e+03
1.458125000000000284e+02	1.453015273893040558e+03
1.458750000000000284e+02	1.453016945676932664e+03
1.459375000000000284e+02	1.452562197590198139e+03
1.460000000000000284e+02	1.451409798902151351e+03
1.460625000000000284e+02	1.450292398164177484e+03
1.461250000000000284e+02	1.449707762208456188e+03
1.461875000000000284e+02	1.449449616686408035e+03
1.462500000000000284e+02	1.449049588784622301e+03
1.463125000000000284e+02	1.448510258860241720e+03
1.463750000000000284e+02	1.447708903744534837e+03
1.464375000000000284e+02	1.446512333204265133e+03
1.465000000000000284e+02	1.445009487222122289e+03
1.465625000000000284e+02	1.443654895840926883e+03
1.466250000000000284e+02	1.442740890442785485e+03
1.466875000000000284e+02	1.441833805143040536e+03
1.467500000000000284e+02	1.440475419005103504e+03
1.468125000000000284e+02	1.438626225286991257e+03
1.468750000000000284e+02	1.437034290816327712e+03
1.469375000000000284e+02	1.436174616595299995e+03
1.470000000000000284e+02	1.436153674426021553e+03
1.470625000000000284e+02	1.436307228999637118e+03
1.471250000000000284e+02	1.436190949640125154e+03
1.471875000000000284e+02	1.435758658892129688e+03
1.472500000000000284e+02	1.435424680234148582e+03
1.473125000000000284e+02	1.434953066463193863e+03
1.473750000000000284e+02	1.433896444264760930e+03
1.474375000000000284e+02	1.432317302250365856e+03
1.475000000000000284e+02	1.431230538401969170e+03
1.475625000000000284e+02	1.431081404040635334e+03
1.476250000000000284e+02	1.431305417775147134e+03
1.476875000000000284e+02	1.430849851243623561e+03
1.477500000000000284e+02	1.429527298218842589e+03
1.478125000000000284e+02	1.427733346164359773e+03
1.478750000000000284e+02	1.426370860923835153e+03
1.479375000000000284e+02	1.425546944970846653e+03
1.480000000000000284e+02	1.424878829787719951e+03
1.480625000000000284e+02	1.423872866003099261e+03
1.481250000000000284e+02	1.422940391991619435e+03
1.481875000000000284e+02	1.422297121583455919e+03
1.482500000000000284e+02	1.422165605571247625e+03
1.483125000000000284e+02	1.422511244396867369e+03
1.483750000000000284e+02	1.422912633996903651e+03
1.484375000000000284e+02	1.422346158208820498e+03
1.485000000000000284e+02	1.420632067351495380e+03
1.485625000000000284e+02	1.418449542114614815e+03
1.486250000000000284e+02	1.416612547831633947e+03
1.486875000000000284e+02	1.415268458477588865e+03
1.487500000000000284e+02	1.414199115957545018e+03
1.488125000000000284e+02	1.413006917046284343e+03
1.488750000000000284e+02	1.412184303298106443e+03
1.489375000000000284e+02	1.412477596118806105e+03
1.490000000000000284e+02	1.413437917661262418e+03
1.490625000000000284e+02	1.413483852405249081e+03
1.491250000000000284e+02	1.412159465584002646e+03
1.491875000000000284e+02	1.410217934060678999e+03
1.492500000000000284e+02	1.408200533801021493e+03
1.493125000000000284e+02	1.406679551065963324e+03
1.493750000000000284e+02	1.406509067374272490e+03
1.494375000000000284e+02	1.407427241321976680e+03
1.495000000000000284e+02	1.407775864773142985e+03
1.495625000000000284e+02	1.406745974603682043e+03
1.496250000000000284e+02	1.405000540611335055e+03
1.496875000000000284e+02	1.403379327828900841e+03
1.497500000000000284e+02	1.402363194651969479e+03
